entity,name
department,Engineering
department,Product Management
department,Data Science
department,Human Resources
department,Finance
department,Marketing
department,Sales
department,Customer Support
department,IT Operations
department,Legal
department,Design
department,Research and Development
department,Quality Assurance
department,Supply Chain Management
department,Corporate Strategy
department,Training and Development
department,Business Intelligence
department,Technical Support
department,Security and Compliance
